City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
328,Whitehorse,CA,60.7161,-135.0538,54.37,63,100,10.36
329,Tiznit,MA,29.5833,-9.5,91.4,23,57,2.04
330,Linqiong,CN,30.4159,103.4609,73.29,92,99,0.58
331,Innisfail,AU,-17.5333,146.0333,66.79,86,96,5.88
332,Nizwa,OM,22.9333,57.5333,82.89,79,92,6.58
333,San Rafael,AR,-34.6177,-68.3301,68.61,11,0,4.41
334,Tecoanapa,MX,16.5167,-98.75,86.63,66,100,8.12
335,Cap Malheureux,MU,-19.9842,57.6142,66.47,76,93,10.0
336,Beboto,TD,8.2668,16.939,70.9,95,83,2.35
337,Mandera,KE,3.9366,41.867,81.97,43,90,17.45
338,Huesca,ES,42.1362,-0.4087,83.08,51,0,4.61
339,Sevierville,US,35.8681,-83.5618,92.32,62,40,8.05
340,Kutum,SD,14.2,24.6667,75.2,62,96,9.98
341,Itarema,BR,-2.9248,-39.9167,78.46,73,70,14.83
342,Lensk,RU,60.7253,114.9278,59.95,97,100,1.03
343,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,78,20,8.05
344,Constitucion,CL,-35.3333,-72.4167,55.6,85,6,11.1
345,Morden,CA,49.1919,-98.1014,82.24,60,2,15.88
346,Taoudenni,ML,22.6783,-3.9836,94.91,35,56,20.71
347,Ippy,CF,6.2679,21.2247,68.16,98,53,0.29
348,Ixtapa,MX,20.7,-105.2,90.23,70,100,5.01
349,Ust-Nera,RU,64.5667,143.2,58.06,74,98,9.26
350,Visavadar,IN,21.3833,70.6833,77.65,91,96,10.36
351,Atar,MR,20.5169,-13.0499,97.95,10,44,2.06
352,Turukhansk,RU,65.8167,87.9833,47.34,95,100,8.39
353,Mpophomeni,ZA,-29.5682,30.1862,52.03,88,86,2.28
354,Batticaloa,LK,7.7102,81.6924,80.15,83,54,5.28
355,Cullman,US,34.1748,-86.8436,96.08,53,40,12.66
356,Berbera,SO,10.4396,45.0143,87.87,43,64,24.2
357,Fort Nelson,CA,58.8053,-122.7002,79.92,25,40,2.13
358,Meadow Lake,US,34.8014,-106.5436,100.65,27,86,10.65
359,Kondinskoye,RU,59.6481,67.41,59.81,96,100,3.8
360,Chapais,CA,49.7834,-74.8492,80.46,40,81,3.56
361,Kununurra,AU,-15.7667,128.7333,57.18,82,86,0.0
362,Pachperwa,IN,27.5167,82.65,79.74,87,100,8.77
363,Iranshahr,IR,27.2025,60.6848,92.97,51,63,8.86
364,Boa Vista,BR,2.8197,-60.6733,85.98,58,20,4.61
365,Khani,GE,41.9563,42.9566,62.29,98,100,1.28
366,Miri,MY,4.4148,114.0089,77.86,87,79,5.01
367,Saint-Pierre,RE,-21.3393,55.4781,69.48,58,0,10.36
368,Samarkand,UZ,39.6542,66.9597,78.22,47,0,6.91
369,Walvis Bay,NA,-22.9575,14.5053,55.09,66,0,10.36
370,Sur,OM,22.5667,59.5289,83.75,77,81,15.75
371,Mabaruma,GY,8.2,-59.7833,77.81,95,100,2.57
372,Tocopilla,CL,-22.092,-70.1979,63.18,73,95,5.64
373,Aksarka,RU,66.5606,67.7975,56.57,69,100,7.7
374,Tsabong,BW,-26.0217,22.401,61.23,36,51,3.8
375,Norman Wells,CA,65.282,-126.8329,73.44,38,20,4.61
376,Christchurch,NZ,-43.5333,172.6333,41.2,93,100,23.02
377,Skelleftea,SE,64.7507,20.9528,64.0,80,75,3.44
378,Marfino,RU,55.7028,37.3822,58.91,82,75,8.95
